Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,FSRCNN_gray_x2,Flickr2K,0.07135377655895252,0.027793232128024103,16.104429445266724,0.1780903405009303,0.001
2,FSRCNN_gray_x2,Flickr2K,0.021433792189466505,0.014544722996652127,19.21795470237732,0.401374556645751,0.001
3,FSRCNN_gray_x2,Flickr2K,0.011805626896192443,0.01110484816133976,20.31436065673828,0.510658832937479,0.001
4,FSRCNN_gray_x2,Flickr2K,0.008400337401918083,0.008383327648043632,22.021293458938597,0.5888116402924061,0.001
5,FSRCNN_gray_x2,Flickr2K,0.006964095119597777,0.007513217367231846,22.350917472839356,0.6479729634523391,0.001
6,FSRCNN_gray_x2,Flickr2K,0.006184097773061608,0.005867641810327768,23.80497015953064,0.6801852503418923,0.001
7,FSRCNN_gray_x2,Flickr2K,0.005621224517740731,0.005655779801309109,23.82355171203613,0.6857354462146759,0.001
8,FSRCNN_gray_x2,Flickr2K,0.005370105945347052,0.005470163952559233,24.01981249809265,0.7184939569234848,0.001
9,FSRCNN_gray_x2,Flickr2K,0.004995164370410285,0.0053947845846414565,24.244138097763063,0.7309718546271324,0.001
10,FSRCNN_gray_x2,Flickr2K,0.00468911215065504,0.005104138031601906,24.689369115829468,0.7400538146495819,0.001
11,FSRCNN_gray_x2,Flickr2K,0.004486713316643013,0.004872099794447422,24.763474731445314,0.7456663379073143,0.001
12,FSRCNN_gray_x2,Flickr2K,0.0044650237058412355,0.004494884163141251,25.445245723724366,0.7682580253481865,0.001
13,FSRCNN_gray_x2,Flickr2K,0.004177401530433376,0.004236650075763464,25.52349247932434,0.7709257578849793,0.001
14,FSRCNN_gray_x2,Flickr2K,0.004099797952287602,0.004090763665735722,25.75122226715088,0.783119507431984,0.001
15,FSRCNN_gray_x2,Flickr2K,0.003921483861598766,0.0041814643889665605,25.31912314414978,0.7941484913229943,0.001
16,FSRCNN_gray_x2,Flickr2K,0.0037851131173237316,0.003694174084812403,25.843002338409423,0.7946639731526375,0.001
17,FSRCNN_gray_x2,Flickr2K,0.003872293607981981,0.003612770810723305,25.801449527740477,0.817396634221077,0.001
18,FSRCNN_gray_x2,Flickr2K,0.0036210232783319817,0.004176893215626479,26.38904027938843,0.8087221351265907,0.001
19,FSRCNN_gray_x2,Flickr2K,0.003423183824128981,0.00337176020257175,26.903849277496338,0.8308503699302673,0.001
20,FSRCNN_gray_x2,Flickr2K,0.0033870849702155813,0.0033972756285220386,26.849975605010986,0.8185855507850647,0.001
21,FSRCNN_gray_x2,Flickr2K,0.003395486098696601,0.003367551453411579,26.431917324066163,0.8307847881317139,0.001
22,FSRCNN_gray_x2,Flickr2K,0.0032162187997040884,0.0034847107343375684,26.614824962615966,0.8253623300790787,0.001
23,FSRCNN_gray_x2,Flickr2K,0.003133202442758769,0.0035157727263867857,26.729966926574708,0.829875690639019,0.001
24,FSRCNN_gray_x2,Flickr2K,0.0032687135594281947,0.0032988827116787432,26.38506031036377,0.8342696988582611,0.001
25,FSRCNN_gray_x2,Flickr2K,0.0031078248022932487,0.003025189470499754,27.304962158203125,0.8409222495555878,0.001
26,FSRCNN_gray_x2,Flickr2K,0.0029775153176050703,0.002763135125860572,27.326059684753417,0.851929018497467,0.001
27,FSRCNN_gray_x2,Flickr2K,0.0031771861719635296,0.0035789373889565466,26.279221229553222,0.8370932513475418,0.001
28,FSRCNN_gray_x2,Flickr2K,0.0031095862304264645,0.0031912225019186734,26.81873752593994,0.8472632676362991,0.001
29,FSRCNN_gray_x2,Flickr2K,0.002903653687955636,0.003105607805773616,27.16006601333618,0.8487904047966004,0.001
30,FSRCNN_gray_x2,Flickr2K,0.0028313282021444363,0.0030282973032444717,27.041102676391603,0.8448629289865494,0.001
31,FSRCNN_gray_x2,Flickr2K,0.0027972223358404525,0.003070556577295065,26.932696952819825,0.8501512145996094,0.001
32,FSRCNN_gray_x2,Flickr2K,0.0028576360985566422,0.0029140377417206766,27.58355007171631,0.8564897966384888,0.001
33,FSRCNN_gray_x2,Flickr2K,0.002750140627986699,0.0027952390536665917,27.821490516662596,0.8525557452440262,0.001
34,FSRCNN_gray_x2,Flickr2K,0.0027417369390714845,0.003915062360465527,25.356712303161622,0.8377668517827987,0.001
35,FSRCNN_gray_x2,Flickr2K,0.0029631755887618606,0.002922029551118612,27.13969808578491,0.8473292797803879,0.001
36,FSRCNN_gray_x2,Flickr2K,0.002623050777452453,0.0025086114834994076,28.401710987091064,0.8601709961891174,0.001
37,FSRCNN_gray_x2,Flickr2K,0.0026794124428042264,0.0030757001135498286,27.298864631652833,0.8545546150207519,0.001
38,FSRCNN_gray_x2,Flickr2K,0.0026504639037094025,0.0028104373347014188,27.711769695281983,0.8574398100376129,0.001
39,FSRCNN_gray_x2,Flickr2K,0.002625623974457102,0.002787695722654462,27.620312099456786,0.8594107913970948,0.001
40,FSRCNN_gray_x2,Flickr2K,0.0026821239396297145,0.00235840518027544,28.841158504486085,0.8743700563907624,0.001
41,FSRCNN_gray_x2,Flickr2K,0.0026927013415843247,0.0028662641998380423,28.082997970581054,0.8683202695846558,0.001
42,FSRCNN_gray_x2,Flickr2K,0.002582873009883289,0.0027326629869639874,27.964254875183105,0.8621245288848877,0.001
43,FSRCNN_gray_x2,Flickr2K,0.00261593347837059,0.002614703793078661,28.596226139068605,0.8720917928218842,0.001
44,FSRCNN_gray_x2,Flickr2K,0.002587962153033828,0.002588427485898137,28.257790966033937,0.8741425877809524,0.001
45,FSRCNN_gray_x2,Flickr2K,0.002574710953840107,0.0024590340070426465,28.361464233398436,0.8645793342590332,0.001
46,FSRCNN_gray_x2,Flickr2K,0.00297126143731458,0.0028875835426151754,27.413090438842772,0.8614576953649521,0.001
47,FSRCNN_gray_x2,Flickr2K,0.0025242817396614347,0.0026635497715324164,27.81269094467163,0.86166896879673,0.001
48,FSRCNN_gray_x2,Flickr2K,0.0025916527113262213,0.002593791987746954,28.115904502868652,0.8693602180480957,0.001
49,FSRCNN_gray_x2,Flickr2K,0.0025277585632888216,0.002960350150242448,27.56614080429077,0.852831711769104,0.001
50,FSRCNN_gray_x2,Flickr2K,0.002471209682067329,0.0027867939695715906,27.609779148101808,0.8628181278705597,0.001
51,FSRCNN_gray_x2,Flickr2K,0.002476142194684384,0.0024836131278425455,28.70723213195801,0.8734204930067062,0.001
52,FSRCNN_gray_x2,Flickr2K,0.002495919273955361,0.002533005839213729,28.658538875579833,0.8750083261728286,0.001
53,FSRCNN_gray_x2,Flickr2K,0.0025326723542134716,0.0028886514250189067,27.402652282714843,0.8745269423723221,0.001
54,FSRCNN_gray_x2,Flickr2K,0.002456144914382471,0.0023705722019076348,28.341098918914795,0.8784316170215607,0.001
55,FSRCNN_gray_x2,Flickr2K,0.002481656212113657,0.003146086921915412,26.65556652069092,0.8499672995507717,0.001
56,FSRCNN_gray_x2,Flickr2K,0.002649571516217207,0.0024558331817388533,28.18788360595703,0.8679205194115639,0.001
57,FSRCNN_gray_x2,Flickr2K,0.0024431694019585847,0.002340349620208144,28.38801610946655,0.8740668088197708,0.001
58,FSRCNN_gray_x2,Flickr2K,0.002475719467367766,0.0025144654139876367,28.694186553955078,0.8682586991786957,0.001
