Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.050216132196161035,0.03323306692606312,14.887029319159728,0.0516346705386402,0.001
2,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.026287192878665898,0.02273481271866351,16.692417998771884,0.25548437012089903,0.001
3,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.021356517859434678,0.018085369724506712,17.65747117457417,0.2759631948379711,0.001
4,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.016360201909717192,0.013977073932771629,18.74242909749349,0.3592805858288984,0.001
5,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.012428790888628043,0.010906566229075362,19.817238303901114,0.5213195808458598,0.001
6,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.010272767373734275,0.009557672086997895,20.408188431949938,0.5862391826702814,0.001
7,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.009007607576158424,0.008446280839247892,20.974058684656175,0.622630470208875,0.001
8,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.00803440213098196,0.007669849373863242,21.39730961578714,0.6468691637011327,0.001
9,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.007339291311379543,0.007058934634814491,21.77085084430242,0.6832169377329604,0.001
10,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.006804552029207938,0.006582160490843873,22.08932259123204,0.7158512296612443,0.001
11,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.006361781419544233,0.006182554077967412,22.373275088725116,0.7348629488069754,0.001
12,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0059925333338942234,0.005846806117833334,22.623013399415097,0.7498338933789076,0.001
13,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.005625342103089653,0.005470061911491014,22.922844240220925,0.7653638662738819,0.001
14,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.005249121881453163,0.005139281415501557,23.20462858340161,0.7765176442611513,0.001
15,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.004910553099145576,0.004821995104857757,23.491860756092827,0.788674064048217,0.001
16,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.004599219993135686,0.0045382012507883505,23.76498197566318,0.8017500495009069,0.001
17,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.004326452269602966,0.004312685980214237,23.993789236424334,0.8079665674823615,0.001
18,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.004103959259171944,0.00410748400730686,24.221021021826793,0.8214963660508411,0.001
19,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003913287452216876,0.004037877163286768,24.29637436408781,0.831138478281013,0.001
20,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0038290700328004897,0.0038067713316719412,24.57549785894189,0.8434593959146336,0.001
21,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003706074859105093,0.003724550302166723,24.6764963387096,0.8473754783637093,0.001
22,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0035596143001806265,0.003636642298687481,24.78488033639509,0.8486736760227067,0.001
23,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0034657777865854025,0.003542722702699866,24.908459776538912,0.8545458007043618,0.001
24,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003386080130871575,0.0035530308203634907,24.8954465241082,0.8591997711754985,0.001
25,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003330258161913456,0.003369035488678574,25.140754888286697,0.8645745877316292,0.001
26,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0032053752026210227,0.0032794460033377013,25.266872896312993,0.8699694417455652,0.001
27,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003125788757082938,0.0032122088201596575,25.36315599538512,0.8705359445252523,0.001
28,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0030645431285082113,0.003150323771550662,25.45098535354528,0.8716116499831374,0.001
29,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.003015639223579296,0.003089204793638092,25.542592124076887,0.8780223572451948,0.001
30,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0029448592432874576,0.0030246214220289794,25.6431913106455,0.8803071302326574,0.001
31,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.0028953379438400773,0.002978877530112273,25.71522486411919,0.8849420988626177,0.001
32,FSRCNN_thermal_gray_x2,InfraredThermal32x24,0.002854386485302768,0.0029510911475172487,25.760358045330154,0.8888671500792706,0.001
