Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003998279488150729,0.00039105030611247797,37.05584725649548,0.9645245594086823,0.001
2,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000351139683596557,0.00038734748415533016,37.13102500851144,0.9647372098762343,0.001
3,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003291052871209104,0.0003755318786470487,37.269712625173575,0.965828221273318,0.001
4,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00032381450874527216,0.0003697308545926279,37.33994232853757,0.9661920309194744,0.001
5,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003155818946979707,0.0003648640076828264,37.40157685501163,0.9664895923115391,0.001
6,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003117986959769041,0.0003607783095472991,37.42223384712316,0.9666385307650222,0.001
7,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000293294324335875,0.0003363245604869238,37.78466906728624,0.9680471457106885,0.001
8,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00028418533336662223,0.0003248868476479601,37.98819530664114,0.9689219532729779,0.001
9,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00027329165361152265,0.00032013790373236554,38.0539620898444,0.9689031985240467,0.001
10,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00027279937470302685,0.00031440270664799124,38.15887341318251,0.9694323688096574,0.001
11,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000264752656010387,0.00031307910692795544,38.16297948008348,0.969532143239568,0.001
12,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00026438051049626666,0.0003109270014666524,38.23639680363458,0.9698375726304954,0.001
13,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000262265673467482,0.00031012220343551303,38.23590309609844,0.9698779156474361,0.001
14,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002631592805046239,0.0003093803292980323,38.243047038211095,0.9697961979330247,0.001
15,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025791493122960676,0.00030630358771366003,38.3042187891932,0.9699703640907175,0.001
16,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002628379677043995,0.0003063328397648904,38.31250861324841,0.9700913502332258,0.001
17,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002604861032523331,0.0003047561142686951,38.35082294769931,0.9702570175705018,0.001
18,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00026022908199956876,0.0003052455297155986,38.34355638198209,0.9702539505990001,0.001
19,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025719035637303023,0.00030465895444634154,38.338370180331204,0.9701728868018885,0.001
20,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002623062481434317,0.0003040600792167881,38.358882622376775,0.9703508093874549,0.001
21,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025895285663136747,0.00030315077783444596,38.37915648689753,0.9703730821592295,0.001
22,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002553484240852413,0.00030190800881516267,38.41607948093978,0.9705121097122966,0.001
23,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025051749866543106,0.0003023631042147051,38.388607699156815,0.9704560188254943,0.001
24,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002597116371616721,0.0003019394314963811,38.385889542253715,0.9703943530833998,0.001
25,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025347332417732105,0.00030325246836797565,38.346942163217925,0.970103707755423,0.001
26,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003133480208198307,0.00029994193381012934,38.45632300799406,0.9707507001902764,0.001
27,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025052420517022257,0.00029925715398924614,38.46201077996427,0.9708066335159518,0.001
28,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002509932855828083,0.00029936562037342993,38.46622102673044,0.9708278723406478,0.001
29,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002499907458841335,0.0002983213668624784,38.484770265812614,0.9709242012609746,0.001
30,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002532202396178036,0.00029927934489246334,38.456149580106455,0.9707032418287013,0.001
31,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002529775011644233,0.00029981071728710007,38.406478137406616,0.9704102428641759,0.001
32,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002524220747727668,0.00030022573047995424,38.41790175538526,0.970595440595968,0.001
33,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002541270807996625,0.0003003207005767686,38.416342841924994,0.970480906362474,0.001
34,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002497808985572192,0.00029896389685530917,38.464864105111936,0.9706999957166853,0.001
35,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002523493096159655,0.0003006529632291682,38.35132061881858,0.9698951199217041,0.001
36,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002477807259565452,0.00030005312137176056,38.42280825683336,0.9704427300896797,0.001
37,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025578714345465413,0.0002976790251849388,38.44629471412691,0.9705374306039287,0.001
38,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002508046502553043,0.0002969991831604552,38.48933775414898,0.9708087372664473,0.001
39,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024974180782737676,0.0002970171338381965,38.44375279583508,0.9703663125182795,0.001
40,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002525741100980667,0.00029635551603062014,38.50028927316143,0.9708249608114079,0.001
41,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024867523753346177,0.00029578585653390957,38.515314800326834,0.970924190847001,0.001
42,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024514873483713016,0.0002965105105980343,38.45998413955109,0.9703039278769364,0.001
43,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024713907122350063,0.00029524196850976866,38.52938225903088,0.9709946851530163,0.001
44,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00025354337545650194,0.0002947881524200563,38.53839452759626,0.9710651803501352,0.001
45,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003889467882399913,0.0003034521280436674,38.350497632087034,0.9701791864172499,0.001
46,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000258147881962941,0.00029621090050929185,38.516089356901276,0.9709991499813179,0.001
47,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024723581864964216,0.0002941570590352856,38.56988543900759,0.9711679564830693,0.001
48,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002504840824622079,0.00029394954893903073,38.55188469745942,0.9711829492266704,0.001
49,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024459584108990385,0.00029373055418883547,38.58155148341183,0.9711915529060884,0.001
50,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024879238274297676,0.0002948955409801054,38.51156655645572,0.9709950505501576,0.001
51,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024688187603169354,0.0002963254954602043,38.48419429280084,0.9706879126505196,0.001
52,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002429380484027206,0.00029716923705671563,38.41924031374324,0.9706840812373263,0.001
53,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002503358929025126,0.00029679305672415684,38.49196437642544,0.9706375716742518,0.001
54,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024885535392240855,0.0002955116199811858,38.49353647433253,0.9707249937571732,0.001
55,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024659705315571045,0.0002963640176033393,38.49120074083031,0.9707676636909504,0.001
56,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002484079907662817,0.0002932630570269905,38.5411499824202,0.9710176855530586,0.001
57,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024660036648856473,0.00029511409812903557,38.506424592014106,0.9707499193170133,0.001
58,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003425948289150256,0.00029361609616100723,38.557789977592755,0.9710807285377598,0.001
59,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002420032609734335,0.000292291475350886,38.60204305528085,0.9712322092901586,0.001
60,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024152489643893205,0.0002919048243320158,38.6042957527225,0.9712940786230376,0.001
61,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024636593525792706,0.00029213084283732823,38.59053897857666,0.9711987951305247,0.001
62,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024336382302135462,0.0002931065193425573,38.54843625338269,0.9709925633262355,0.001
63,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024615152856495115,0.0002920926033206312,38.60469886321056,0.9711735144519775,0.001
64,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002465007625214639,0.00029346376487038214,38.547881096224245,0.9709223547160911,0.001
65,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.000246026947403152,0.00029261784843794946,38.57442348013447,0.9710606614841025,0.001
66,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024468843138311056,0.00029237326531143435,38.56913233608133,0.971099874421613,0.001
67,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024223027220432415,0.00029409221048198663,38.52324879320362,0.9707295097241858,0.001
68,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002482151619515207,0.0002919328942703857,38.582677468971866,0.9710662495225088,0.001
69,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002448814656236209,0.00029196643588238276,38.567932764689125,0.9708691264252305,0.001
70,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002445487412915099,0.011124984593079562,19.763645143951546,0.2611691737837071,0.001
71,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003250395633003791,0.00029118623887704496,38.61697807794885,0.9712890048031291,0.001
72,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024459678556013384,0.00029146535762802813,38.58693595073394,0.9712477428895957,0.001
73,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002443617403114331,0.0002897634586446549,38.6522388317414,0.9713895762681671,0.001
74,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002459600374713773,0.0002899639106015203,38.62172566385712,0.9712623792660807,0.001
75,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002447596932361193,0.00029504856155258857,38.46316963107274,0.970403433702,0.001
76,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002428371274872916,0.0002911718054954552,38.601067138623584,0.9711459021852403,0.001
77,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024641918695124333,0.0002911791018994313,38.57881494916441,0.9709215209103395,0.001
78,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024965076795342613,0.0002920531082253919,38.54656130754495,0.9706794989424824,0.001
79,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024225433911487926,0.0002902572189434628,38.6171989923791,0.9710919967268102,0.001
80,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002458690485873376,0.00029253034402625165,38.5595706746548,0.9709493866712856,0.001
81,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024426627618231577,0.00029039866220867183,38.6006807295079,0.9710819782261986,0.001
82,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0003833937577874167,0.0002911025202351245,38.60121536858474,0.971204036968924,0.001
83,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024541430483805015,0.0002890796251894655,38.66002786209815,0.9714693511508975,0.001
84,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024376331060921075,0.00028877365649707283,38.65193809034452,0.9714091708614815,0.001
85,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00023944282755837776,0.0002884243154836394,38.66721139980268,0.9714602650960099,0.001
86,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002419308891694527,0.0002889151139457942,38.64919333115912,0.9713831000812668,0.001
87,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.0002405610744463047,0.0002906016109856081,38.58990091009985,0.9709746906136782,0.001
88,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024141772369330283,0.00028933230157546653,38.627110561741056,0.9712220536068149,0.001
89,VideoESPCN_Vimeo90K_x2_3f,Vimeo90K,0.00024809939552505964,0.0002947637558271735,38.494149771420766,0.970373467560968,0.001
